model_name,group,size_b,tb2,tb2_std,notes
TMax-9B,ours,9,27.19,1.49,daytona official
TMax-4B,ours,4,18.88,1.9,
TMax-2B,ours,2,,,TODO
Nemotron-Terminal-8B,past_work,8,13.0,2.2,paper
Nemotron-Terminal-14B,past_work,14,20.2,2.7,paper
Nemotron-Terminal-32B,past_work,32,27.4,2.4,paper
TermiGen-Qwen3-32B,past_work,32,,,unreleased
TermiGen-Qwen2.5-32B,past_work,32,19.3,2.0,tb2.0 leaderboard
Endless-Terminals-8B,past_work,8,6.7,,Qwen3-8B + OT SFT + RL
TerminalTraj-7B,past_work,7,10.1,,paper
TerminalTraj-14B,past_work,14,19.1,,paper
TerminalTraj-32B,past_work,32,22.0,,paper
LiberCoder-32B,past_work,32,19.5,,cli-gym
LiberCoder-235B-A22B,past_work,235,31.0,,cli-gym; 22B active
GPT-OSS-120B,open_weights,120,18.7,2.7,terminus-2 best
Kimi-K2.5,open_weights,1040,43.2,2.9,1.04T; leaderboard best
MiniMax-M2.7,open_weights,357,45.1,,357B; leaderboard best
DeepSeek-V3.2,open_weights,685,39.6,2.8,685B; leaderboard best
GLM-5,open_weights,744,52.4,2.6,744B / 40B active; leaderboard best
Claude-Haiku-4.5,closed,,29.8,2.5,leaderboard best
Claude-Sonnet-4.6,closed,,53.4,2.8,leaderboard best
GPT-5-mini,closed,,31.9,3.0,leaderboard best
GPT-5-nano,closed,,11.5,2.3,leaderboard best
Qwen3-8B,our_baseline,8,0.90,0.45,
Qwen3.5-9B,our_baseline,9,21.12,2.60,daytona official
Qwen3.6-27B,our_baseline,27,,,TODO
Qwen3.5-4B,our_baseline,4,16.63,1.65,
Qwen3.5-2B,our_baseline,2,2.25,1.00,
